,Date,Long_rate,Country,Variable_long
5,2000,5.438875,U2,FIGB_PA
6,2001,5.0273,U2,FIGB_PA
7,2002,4.92290833333333,U2,FIGB_PA
8,2003,4.16085833333333,U2,FIGB_PA
9,2004,4.14079166666667,U2,FIGB_PA
10,2005,3.440875,U2,FIGB_PA
11,2006,3.85951666666667,U2,FIGB_PA
12,2007,4.33176666666667,U2,FIGB_PA
13,2008,4.35503333333333,U2,FIGB_PA
14,2009,4.0301,U2,FIGB_PA
15,2010,3.784725,U2,FIGB_PA
16,2011,4.31229166666667,U2,FIGB_PA
17,2012,3.05313333333333,U2,FIGB_PA
18,2013,3.01155833333333,U2,FIGB_PA
19,2014,2.28260833333333,U2,FIGB_PA
20,2015,1.27115833333333,U2,FIGB_PA
21,2016,0.930625,U2,FIGB_PA
22,2017,1.31329166666667,U2,FIGB_PA
0,2001,5.91,FJ,FIGB_PA
1,2002,5.86875,FJ,FIGB_PA
2,2003,5.18722222222222,FJ,FIGB_PA
3,2004,4.78938095238095,FJ,FIGB_PA
4,2005,4.80921637725429,FJ,FIGB_PA
5,2006,7.700562631586,FJ,FIGB_PA
6,2007,7.41666666666667,FJ,FIGB_PA
7,2008,7.03460900084539,FJ,FIGB_PA
8,2009,4.23219196158135,FJ,FIGB_PA
9,2012,6.13408534290917,FJ,FIGB_PA
10,2013,5.08916666666667,FJ,FIGB_PA
11,2014,4.57750487987988,FJ,FIGB_PA
12,2015,5.17458333333333,FJ,FIGB_PA
13,2016,5.83916077437121,FJ,FIGB_PA
14,2017,6.14333333333333,FJ,FIGB_PA
15,2018,6,FJ,FIGB_PA
16,2019,6,FJ,FIGB_PA
17,2020,5.31777777777778,FJ,FIGB_PA
0,1995,8.7925,FI,FIGB_PA
1,1996,7.07666666666667,FI,FIGB_PA
2,1997,5.9575,FI,FIGB_PA
3,1998,4.7875,FI,FIGB_PA
4,1999,4.72416666666667,FI,FIGB_PA
5,2000,5.48333333333333,FI,FIGB_PA
6,2001,5.04333333333333,FI,FIGB_PA
7,2002,4.98083333333333,FI,FIGB_PA
8,2003,4.13416666666667,FI,FIGB_PA
9,2004,4.11,FI,FIGB_PA
10,2005,3.35166666666667,FI,FIGB_PA
11,2006,3.78333333333333,FI,FIGB_PA
12,2007,4.29254542557714,FI,FIGB_PA
13,2008,4.28973224815167,FI,FIGB_PA
14,2009,3.73884547340849,FI,FIGB_PA
15,2010,3.01290969807589,FI,FIGB_PA
16,2011,3.00587516233766,FI,FIGB_PA
17,2012,1.88419111896212,FI,FIGB_PA
18,2013,1.86087718691492,FI,FIGB_PA
19,2014,1.44927441666667,FI,FIGB_PA
20,2015,0.723133015214254,FI,FIGB_PA
21,2016,0.363164311594203,FI,FIGB_PA
22,2017,0.548126949156512,FI,FIGB_PA
0,1995,7.535,FR,FIGB_PA
1,1996,6.31083333333333,FR,FIGB_PA
2,1997,5.58166666666667,FR,FIGB_PA
3,1998,4.64,FR,FIGB_PA
4,1999,4.60833333333333,FR,FIGB_PA
5,2000,5.39416666666667,FR,FIGB_PA
6,2001,4.93916666666667,FR,FIGB_PA
7,2002,4.86,FR,FIGB_PA
8,2003,4.13,FR,FIGB_PA
9,2004,4.09833333333333,FR,FIGB_PA
10,2005,3.41,FR,FIGB_PA
11,2006,3.79666666666667,FR,FIGB_PA
12,2007,4.30416666666667,FR,FIGB_PA
13,2008,4.23416666666667,FR,FIGB_PA
14,2009,3.64919166666667,FR,FIGB_PA
15,2010,3.1171,FR,FIGB_PA
16,2011,3.32121666666667,FR,FIGB_PA
17,2012,2.53618333333333,FR,FIGB_PA
18,2013,2.20460833333333,FR,FIGB_PA
19,2014,1.6674,FR,FIGB_PA
20,2015,0.844408333333333,FR,FIGB_PA
21,2016,0.467066666666667,FR,FIGB_PA
22,2017,0.924683333333333,FR,FIGB_PA
0,1995,6.85,DE,FIGB_PA
1,1996,6.21583333333333,DE,FIGB_PA
2,1997,5.64083333333333,DE,FIGB_PA
3,1998,4.57166666666667,DE,FIGB_PA
4,1999,4.49083333333333,DE,FIGB_PA
5,2000,5.26333333333333,DE,FIGB_PA
6,2001,4.7975,DE,FIGB_PA
7,2002,4.7825,DE,FIGB_PA
8,2003,4.07083333333333,DE,FIGB_PA
9,2004,4.03666666666667,DE,FIGB_PA
10,2005,3.35333333333333,DE,FIGB_PA
11,2006,3.7625,DE,FIGB_PA
12,2007,4.21666666666667,DE,FIGB_PA
13,2008,3.98416666666667,DE,FIGB_PA
14,2009,3.2225,DE,FIGB_PA
15,2010,2.74333333333333,DE,FIGB_PA
16,2011,2.60666666666667,DE,FIGB_PA
17,2012,1.495,DE,FIGB_PA
18,2013,1.57,DE,FIGB_PA
19,2014,1.16333333333333,DE,FIGB_PA
20,2015,0.495833333333333,DE,FIGB_PA
21,2016,0.09,DE,FIGB_PA
22,2017,0.283333333333333,DE,FIGB_PA
0,2004,21.195,GH,FIGB_PA
1,2005,20.5375,GH,FIGB_PA
2,2006,16.4222222222222,GH,FIGB_PA
3,2007,12.7063888888889,GH,FIGB_PA
4,2008,14.8883333333333,GH,FIGB_PA
5,2009,16,GH,FIGB_PA
6,2010,15.14,GH,FIGB_PA
7,2011,13.425,GH,FIGB_PA
8,2012,20.4141666666667,GH,FIGB_PA
9,2013,18.2366666666667,GH,FIGB_PA
