iso,year,XPTOT,IPTOT,SH_PRIM,SH_SECD,GDP,XCH_RATE,POP,TARIFF
BDI,2019,215494177.29639596,772330614.3068908,28.8975583833274,10.9561343078757,2359978713.2964354,0.00042448818442865837,11530.577,
BDI,2020,126667736.48428617,709480282.9253843,28.4545316294577,10.6789943792682,2541384662.2527084,0.0004073006627935418,11890.781,
BEL,2014,259305165483.8704,256644551918.46606,0.637835968092569,19.6748264840511,324939707522.5455,,11209.057,0.0
BEL,2015,235359409335.09625,231069934106.65982,0.6864147804639,19.6698883181098,302497983204.10693,,11274.196,0.0
BEL,2016,279869563202.65735,275661792341.34296,0.628433475870949,19.2882202670028,352349135184.25854,,11331.422,0.0
BEL,2017,324138207624.46204,320089581728.38525,0.665093660241847,19.2353624906499,389671574375.29584,,11375.158,0.0
BEL,2018,338043808874.0776,339118048530.44586,0.565349487292941,18.9025959765849,407303424498.6745,,11427.054,0.0
BEL,2019,341793043262.992,339219787862.33734,0.626060683926477,19.1114145335426,417775644603.6636,,11488.98,0.0
BEL,2020,323893370834.0755,322075018459.36304,0.719008442143204,19.2064797643674,401959131568.0174,,11555.997,
BEN,2014,2537537889.8911457,2731831772.1478715,25.6184529738008,16.4115774866134,8073401153.6942425,0.0012308265419203484,10286.839,
BEN,2015,1842679563.0605156,2387975350.4656286,26.3920850925037,16.3850954444902,7454069294.000831,0.0011071253853144815,10575.962,
BEN,2016,2416998801.5492067,2747359135.777842,27.7536354980493,15.7020683118185,8755088767.718067,0.001249793192759943,10872.072,
BEN,2017,2684890336.9895883,3382167650.499394,28.4890165273264,15.1075858507501,9868890419.47177,0.001338099803189423,11175.192,
BEN,2018,2915649262.979488,3690334084.046209,28.0872656382206,14.6536911362792,10681564255.860826,0.0013494217650092068,11485.035,
BEN,2019,3340870464.495804,3839261055.90053,26.8758016258337,16.3125612015902,11275096263.637531,0.0013370492737921572,11801.151,
BEN,2020,2426070664.002435,3047259522.296643,27.1091750361118,16.2905490528658,12208198637.581427,0.0013581873224703498,12123.198,
BFA,2014,2282106122.1986914,2702358135.5718045,23.6937727725999,24.9295392471244,8473584472.719975,0.0012308265419203484,17586.029,6.5108930810450785
BFA,2015,2021955262.6795652,2554316502.391459,22.6330752128104,24.3508115650612,7744686359.842481,0.0011071253853144815,18110.616,6.153872015433687
BFA,2016,2463268707.7435527,3039379641.4879007,21.7147178290213,24.8815173666488,9504831197.098623,0.001249793192759943,18646.35,6.5010736434714165
BFA,2017,2899386872.5585184,3596931669.0322013,20.5855872188282,25.1402372200063,10960776515.811752,0.001338099803189423,19193.236,7.284154663889477
BFA,2018,3386041955.952699,3872913226.9903646,23.0694997872975,24.5141374586125,12037409731.294592,0.0013494217650092068,19751.466,6.847570703979413
BFA,2019,3178214385.6796684,3928279063.327512,20.1736647765288,25.5796638070783,12527916862.074741,0.0013371400987315977,20321.383,6.51020384113236
BFA,2020,,,20.4255161919134,29.963441424073,13547858897.901379,0.001355139927976343,20903.278,
BGD,2014,19951982477.02396,26817899042.757484,15.3516208986344,26.3110467833576,105067613018.16931,,154517.385,9.054201141748825
BGD,2015,22136828997.510487,31601882067.216686,14.7829964369364,26.8313948329541,127687867177.18819,,156256.287,9.58904792419475
BGD,2016,27303487786.58717,34936897072.44047,14.0455462197579,27.3461176033502,163987719019.12082,,157977.151,11.899363832326506
BGD,2017,29172990474.18945,39323676604.532166,13.4134659962126,27.7508999829539,194019564079.85538,,159685.421,
BGD,2018,30401294476.064175,48154042275.75374,13.0743171021391,28.5369876541411,205400853851.66803,,161376.713,
BGD,2019,36322503910.460396,50812407525.3858,12.6802716368639,29.6486788149504,237041815352.40613,,163046.173,
BGD,2020,30806822790.32001,46996398804.69922,12.6451498926492,28.7894173849569,252906420625.3747,,164689.383,
BGR,2014,22410324745.36383,22748786284.807938,4.52273418723253,23.4333045387263,34581028178.02326,0.4122483365105582,7223.938,0.027191412667371025
BGR,2015,21206591668.256516,20889702845.420105,4.02320785035774,23.6765656605173,33151054675.86531,0.37097340678498414,7177.991,0.027135252701391655
BGR,2016,25522718137.323402,23549809936.82807,4.02400847088197,24.2025209766911,39851240670.72239,0.4189010234659341,7127.822,0.024428661406834747
BGR,2017,30826963767.1012,28841156868.281,4.03463189640178,24.2525790738106,45819496427.99407,0.4477069068271827,7075.947,0.021693144410649193
BGR,2018,32673461746.29694,31408066593.566425,3.37000959702649,22.345286708763,49641590163.43488,0.45233113646901585,7025.037,0.022699169623156337
BGR,2019,34478654233.03448,32754102299.283195,3.23649259323424,21.6187831488513,53712068447.41055,0.448440998838185,6975.761,0.018220603617052696
BGR,2020,30258681778.342247,29342776035.23306,3.41328704414317,22.9700033518799,53901949597.465385,0.45445692951863736,6927.288,
BHR,2014,19489371917.281906,16134575072.738033,0.299909668641636,46.5197733272369,20290702221.573643,1.6163021991442954,1336.073,
BHR,2015,16890754981.318743,14597582748.881603,0.316230179939426,40.1538667105209,20324054915.8073,1.7408124439665584,1371.853,
BHR,2016,17714952089.92914,15618523207.714212,0.332168625493488,39.3054656012409,23874332239.55039,1.9697725098326702,1425.793,
BHR,2017,20886621049.099606,18551351504.639233,0.29059524041583,41.176805761523,27562297249.578312,2.0664273466599017,1494.077,
BHR,2018,22455247309.603928,20275027507.523605,0.289107982149189,43.034849766976,28221736319.633892,1.9934349474995932,1569.44,
BHR,2019,23162054606.155895,19748859301.074604,0.282447212233573,42.2739005227278,30142675554.198822,2.0836306117338537,1641.164,
BHR,2020,,,0.314551127455963,40.5220393693269,,2.074466959300939,1701.583,
BHS,2014,2620408605.1736603,3239259684.2237873,0.84056301522733,13.4481082832355,6752848522.020419,0.607729626878255,370.625,6.326168070580289
BHS,2015,2906509199.1949973,2932363745.6127887,0.82402568569184,11.5115961334836,7665251194.670144,0.654545478931426,374.2,6.872124919419642
BHS,2016,3232350989.9131837,3298341520.628594,0.873538164899191,13.186066982437,8834658200.210667,0.740634463697084,377.923,5.916121559482643
BHS,2017,3526541765.8235054,3882163993.3324103,0.767771221789011,13.3363222237345,9704982646.155737,0.776976682344123,381.749,5.725025367157011
BHS,2018,3846595864.613535,3746833216.6049495,0.678078036568603,12.6070295881617,9760474670.417753,0.749531540259847,385.635,5.409870171437716
